#   E-Eth (MeV)             Im(F_etaN) (fm)
-67.6428221282319        0.0010606263383299286
-66.36214031005011        0.0010606263383299286
-65.08134517123383        0.0005709193108820454
-63.8008559981306        0.0014034212575433358
-62.52021950820256        0.0015993040685227111
-61.23953769002074        0.0015993040685227111
-59.95885587183892        0.0015993040685227111
-58.6781740536571        0.0015993040685227111
-57.39749223547528        0.0015993040685227111
-56.116957734118245        0.0022359232042048482
-54.83637790450743        0.002676659528908054
-53.55569608632561        0.002676659528908054
-52.27501426814379        0.002676659528908054
-50.99444577059643        0.0031663665563561594
-49.71377528447806        0.0032153372591008367
-48.43309346629624        0.0032153372591008367
-47.15246830843165        0.0034601907728248893
-45.87185448263048        0.003754014989293619
-44.59121799270247        0.0039498978002727725
-43.31061549896475        0.00429269271948618
-42.0301380356604        0.005175797725650799
-40.74960089015522        0.005800990364025704
-39.46898706435408        0.006094814580494434
-38.18843216528285        0.006643286451236685
-36.907841759079474        0.007038316786710963
-35.627408490822546        0.00811240753357989
-34.346778044661704        0.008334408052689257
-30.505757764122563        0.012764624294335336
-29.225404575780658        0.01418477467393453
-27.944983395058074        0.01531110083706455
-26.66463020671617        0.016731251216663523
-25.38424302218391        0.01800448948802824
-24.103889833842004        0.019424639867627214
-22.82370662645178        0.02157935078839812
-21.543410098427103        0.023244354681720925
-20.26315889865623        0.025105241386023103
-18.98299835539285        0.02735789371228381
-17.70290580451018        0.029904370255012802
-16.422813253627453        0.03245084679774224
-15.142754698935164        0.03514423544870571
-13.8628661251945        0.03857218464084111
-12.58306820796139        0.04239189945493482
-11.30329295485518        0.04630955567451833
-10.023540365875874        0.05032515329959142
-8.744071078482648        0.055565018493284324
-7.464839764421811        0.06183326844461767
-6.1856877748050465        0.06844431331516465
-4.906909743282029        0.07667139137628975
-3.6285283339795456        0.08661244403348278
-2.5249227556984692        0.09714726646145633
-1.712555929648829        0.10843705389007874
-1.01674456999433        0.1202879639543184
-0.6119089642654671        0.13175731062633855
-0.5158484789495787        0.1478887847965742
-0.30271017307592274        0.16120182012847983
-0.15672405631164565        0.17720824411134917
0.08937598439132444        0.19182949678800876
0.2792861503884865        0.20489627944325506
0.5461094053244437        0.2146164198191769
1.470292817703978        0.2402335385438974
1.9787324745163914        0.2567978787473235
2.486508701970024        0.27063890375921973
2.9122431734120937        0.2836355728051394
3.3669584078078856        0.2951786670235548
3.8215311819774342        0.30733739293361906
4.247602017842439        0.31888048715203443
4.800644487506929        0.33276640197478013
5.243248624064279        0.344737018201285
5.7521877820447        0.35754557756364524
6.305368754706819        0.3708329615750655
6.748055993062792        0.38244445931477533
7.258677962464844        0.394968716541756
7.810466980000456        0.4072834879847729
8.27166811191529        0.41974789213062114
8.865279840882522        0.4330128312366168
9.311574340347192        0.4450080299785869
9.907329650530016        0.45799401097430426
10.486572039747273        0.47046440042826576
11.036418206483233        0.48418721560492517
11.657415440663215        0.49790105281941477
12.165662578308854        0.5097070730728053
12.719864021271633        0.5225776231263385
13.285178845836128        0.5353391550678088
13.911508198099341        0.5479724304068524
14.463084514602883        0.5602081102783727
15.061645994449066        0.5730465961812992
15.75700029421131        0.5868726579229123
16.51090871484945        0.5992237687366168
17.090187609499708        0.6115364025695933
17.78619663271803        0.6225331236616704
18.539404327118746        0.6379123728586725
19.351464715286        0.650526409707352
20.10546514148689        0.6624799250535334
20.917666505919613        0.6744847430406853
21.788025031743814        0.6867300421573876
22.71662530471889        0.6988502910867239
23.703630560520537        0.7101400785153463
24.806923279416708        0.7220269004282656
26.0268471062314        0.7330257202647461
27.305217183470404        0.7430157436246838
28.583995214993422        0.7512428216858089
29.863158536673666        0.7578048958536112
31.14272981263781        0.7626040247226009
32.42264105050543        0.7659340325092467
33.70297157472038        0.7674521242943353
34.983664724965706        0.7674031535915906
36.26458451647983        0.76637476883395
37.54573094926292        0.7643669700214134
38.82720601188589        0.7609390208292779
40.108828391333645        0.7568744525014601
41.390700076177154        0.7517325287132568
42.67273040990898        0.7459050150866265
43.95495338871933        0.7392449995133348
45.23715370340278        0.7326829253455325
46.519603323482045        0.7250434957173448
47.80207560768821        0.7173061246836676
49.084593220148065        0.7093728708390112
50.367212821179066        0.7009988806696517
51.6498550863368        0.6925269490948025
52.932588008002256        0.683663251897995
54.215343593794444        0.674701613295698
55.49812184371365        0.6656420332879114
56.780888761569315        0.6566314239828696
58.06359901910787        0.6478656681915517
59.34624128426566        0.6393937366167025
60.65260155821397        0.6290511241970023
61.79541749252303        0.62107869379015
63.07790110879262        0.613292352053728
64.36043005331595        0.6053101275063268
65.64302699022005        0.5970340787424567
66.92568058744126        0.5885131764648629
68.2082775243453        0.580237127700993
69.59961127603663        0.5737423882494649
