#   E-Eth (MeV)             Re(F_etaN) (fm)
1399.490677635004        0.005372361830989769
1402.246007150839        0.006657491341868216
1405.0025704699678        0.004729797075550435
1407.7576532251444        0.006657491341868216
1410.5127359803207        0.008585185608185997
1413.269052538791        0.00730005609730755
1416.0248755759437        0.00730005609730755
1418.780205091779        0.008585185608185997
1420.5030880113168        0.00730005609730755
1444.9590433807766        0.012440574140821559
1447.7148664179294        0.012440574140821559
1450.4704426944234        0.013083138896260671
1453.2265124922349        0.012440574140821559
1455.98184200807        0.013725703651700005
1458.7366780025875        0.01629596267345712
1461.4920075184227        0.017581092184335567
1464.2463499916228        0.02143648071697113
1467.001679507458        0.022721610227849576
1469.7555284593404        0.027862128271363584
1472.5098709325405        0.031717516803999146
1475.2632263631056        0.0381431643583916
1478.0151012297179        0.04842420044541984
1480.4201951172042        0.06470250758321439
1483.5040453234162        0.10754015794583127
1485.5627694995414        0.12874479487532664
1487.0504895112708        0.14181027823592474
1489.688360953531        0.149949431804822
1492.439495538167        0.16215816215816803
1495.1901366014856        0.17565202202239227
1497.9410244254627        0.1885033171311774
1500.6909252068049        0.20392487126171943
1503.4413195094646        0.218061295881383
1506.191220290807        0.23348285001192526
1508.9408743114905        0.24954696889790662
1511.6905283321737        0.265611087783888
1514.4399355921983        0.2823177714253087
1517.1898363735406        0.2977393255558507
1519.9387501122476        0.31573113870814984
1522.6879106116135        0.33308038710500987
1525.4373178716382        0.34978707074643034
1528.1869718923217        0.3658511896324117
1530.93563887037        0.3844855675401502
1533.6852928910535        0.40054968642613153
1536.434700151078        0.41725637006755223
1539.1846009324202        0.43267792419809425
1541.9345017137625        0.4480994783286364
1544.6844024951047        0.46352103245917853
1547.4343032764468        0.47894258658972066
1550.1851911004242        0.4917938816985058
1552.9360789244013        0.5046451768072909
1555.6874602696962        0.5162113424051975
1558.4383480936735        0.5290626375139825
1561.1907164816034        0.5380585440901321
1563.9430848695333        0.5470544506662817
1566.6959467787806        0.5547652277315528
1569.564292676333        0.5607624987823191
1572.203151161228        0.5663313933294594
1574.269524917775        0.5676165228403379
1577.712329628946        0.5727570408838519
1580.4681526660984        0.5727570408838519
1583.2239757032512        0.5727570408838519
1587.3596843442506        0.5676165228403379
1590.6922692945036        0.5607624987823191
1593.5652213910193        0.5547652277315528
1596.32351203476        0.5483395801771602
1598.048369039568        0.5419139326227677
