#   E (MeV)             Re(F_etaN) (fm)
1400.9675853400727        0.09838503700043533
1403.7391335498626        0.10206704242482201
1406.5106817596525        0.10574904784920891
1408.9357864432188        0.10943758309922091
1412.0537781792325        0.11535360511561543
1414.8253263890224        0.11828876173412461
1417.5968745988123        0.12122391835263402
1420.3684228086022        0.12714647019465364
1423.1399710183923        0.13306902203667348
1425.9115192281822        0.13675102746106016
1428.683067437972        0.14267357930308
1431.454615647762        0.1478492823392219
1434.226163857552        0.15377183418124152
1436.9977120673418        0.15969438602326136
1439.769260277132        0.1656169378652811
1442.5408084869218        0.17228633851317843
1445.3123566967117        0.17895573916107577
1448.0839049065016        0.18786568622660593
1450.8554531162915        0.19528193568038088
1453.6270013260817        0.20344503394003344
1456.3985495358716        0.21310182981144132
1459.1700977456615        0.2227586256828491
1461.9416459554513        0.23241542155425698
1464.7131941652412        0.2443127638432976
1467.4847423750314        0.2577038037440935
1470.2562905848213        0.2725885412566448
1473.0278387946112        0.28822012757507354
1475.799387004401        0.30683910911701295
1478.570935214191        0.3291923346883402
1480.9960398977573        0.3530457876970481
1483.4211445813235        0.36644335742346923
1486.1926927911134        0.3529478403126707
1488.9642410009033        0.3528956017076694
1491.7357892106934        0.35209651429679056
1494.5073374204833        0.3527911244976668
1497.2788856302732        0.35273888589266555
1500.050433840063        0.3579145889288077
1502.821982049853        0.35860919912968403
1504.9006432071956        0.3585700201759331
1510.7901831529991        0.35845901314030537
1514.6010619414603        0.3583871850584286
1517.3726101512502        0.35833494645342734
1520.1441583610401        0.3523079174014051
1522.91570657083        0.35150882999052613
1525.6872547806202        0.3462286497443815
1528.45880299041        0.340948469498237
1531.2303512002        0.33492144044621475
1534.0018994099898        0.32590701617068196
1536.7734476197797        0.3183862895069044
1539.5449958295699        0.3071313188137388
1542.3165440393598        0.2958763481205732
1545.0880922491497        0.28462137742740756
1547.8596404589396        0.2703790115107315
1550.6311886687295        0.25688349439993285
1553.4027368785194        0.2426411284832568
1556.1742850883095        0.22615821614894782
1558.9458332980994        0.207434757397006
1561.7173815078893        0.19020499625681941
1564.4889297176792        0.17073468869899988
1567.260477927469        0.15275807875293568
1570.032026137259        0.13403462000099364
1572.803574347049        0.11456431244317433
1575.575122556839        0.09360030727359958
1578.346670766629        0.07263630210402483
1581.1182189764188        0.05391284335208302
1583.8897671862087        0.03294883818250827
1586.6613153959988        0.011984833012933738
1589.4328636057887        -0.007485474544885795
1592.2044118155786        -0.026955782102705328
1594.9759600253685        -0.04493239204876942
1597.7475082351584        -0.06216215318895624
