#   E-Eth (MeV)             Im(F_etaN) (fm)
-69.86400519562335        0.1550200377747255
-68.51929598354232        0.15769348620129908
-67.23745335031349        0.16082984983766258
-65.95563910658308        0.16411323051948068
-64.67381539968653        0.1673476055194807
-63.391953840125396        0.170385957792208
-62.1101206700627        0.1735713271103898
-60.8282875                0.1767566964285716
-59.546596277429465        0.18067715097402615
-58.264876665360504        0.18445058847402618
-56.9831475901254        0.188175020292208
-55.70143744122257        0.19199746347402613
-54.41976514498433        0.19601592938311707
-53.13805499608151        0.1998383725649352
-51.8563259208464        0.20356280438311714
-50.57464416144201        0.20753226461038976
-49.29307596003135        0.21208979301948072
-48.01145097962383        0.21635328733766257
-46.72989224137931        0.22095982142857162
-45.44834296630094        0.225615361201299
-44.16685993338559        0.23061394074675345
-42.88542421630094        0.23585754870129894
-41.60394118338559        0.2408561282467535
-40.32247707680251        0.24595271915584427
-39.04101297021944        0.25104931006493525
-37.759662421630104        0.25673396915584434
-36.478302409874615        0.26236962256493523
-35.197008640282135        0.26834831574675355
-33.915809502351095        0.27481706574675346
-32.63459143808778        0.2811878043831171
-31.35341122648903        0.2877545657467535
-30.072335109717883        0.29486038961038974
-28.79124006661442        0.3018682021103898
-27.510268044670852        0.30951308847402614
-26.229296022727283        0.3171579748376626
-24.94835239028214        0.3249498782467535
-23.667645336990603        0.333966923701299
-22.386919357366764        0.342885957792208
-21.10622176724138        0.3519520089285716
-19.82558095611286        0.3613120941558443
-18.54510101880878        0.37150527597402616
-17.264810344827595        0.38267857142857165
-15.984595376175548        0.39424391233766254
-14.762620517241388        0.40553482142857167
-13.599006896551742        0.4171785714285716
-12.49368175287357        0.42879836309523833
-11.504931250000013        0.4403582589285716
-10.57438855064656        0.4514764229910716
-9.643949946120685        0.4631336495535716
-8.771862068965518        0.4750892857142859
-7.957974353448279        0.48656361607142884
-7.144279956896554        0.4990390625000002
-6.3887919181034505        0.5110652901785716
-5.6916688577586285        0.5234637276785716
-5.052863189655184        0.5359879464285716
-4.375198922413787        0.5485301339285716
-3.8250676724137946        0.5602611607142859
-3.252865840517245        0.5726981026785716
-2.789032300646568        0.5857029854910716
-2.383361745689669        0.5980340401785716
-2.0362922413793143        0.6119598214285716
-1.6891880387931053        0.6257059151785717
-1.284172413793101        0.6414285714285716
-0.6878699255485969        0.6545130884740261
-0.06540178291537302        0.6693128043831171
1.2174439459247566        0.6672545657467535
2.5004221590909026        0.6645102475649353
3.78350446708464        0.661226866883117
5.066766575235107        0.6570123782467534
6.350293652037607        0.6514257305194806
7.634161402821306        0.6440748782467534
8.918171101097172        0.6359889407467534
10.202625568181816        0.6255997362012988
11.429001745689646        0.6140981026785716
12.422216594827574        0.6025390625000002
13.47370143025077        0.591099736201299
14.525571551724127        0.5776651785714287
15.402202424568955        0.5660945870535716
16.279048922413793        0.5534073660714288
17.03901551724138        0.5422410714285716
17.799205172413778        0.529919642857143
18.559372521551722        0.5177137276785716
19.261197198275852        0.5057645089285716
19.963143318965507        0.4931863839285716
20.665054741379308        0.4807879464285716
21.36705290948275        0.46794029017857164
21.893772737068957        0.4571590401785717
22.653925215517233        0.4450301339285716
23.94202931034482        0.41574107142857153
24.643697844827585        0.4046004464285716
25.28709409482758        0.3933520089285716
25.872252758620675        0.38181607142857166
26.4409198275862        0.3694330357142859
27.15961431034482        0.35637232142857167
27.706271767241404        0.34296763392857155
28.39727801724139        0.3295424107142859
28.999288146551706        0.316989955357143
29.67595409482759        0.30595200892857166
30.31981530172412        0.2922957589285716
30.90480047413793        0.28165825892857155
31.489979956896534        0.2700145089285716
32.0750761637931        0.25880200892857164
32.718715301724146        0.24629575892857158
33.42076551724138        0.23317857142857168
34.12286778017243        0.2197918526785716
34.76640629310346        0.20780669642857164
35.40993092672413        0.19589341517857162
36.111807650862076        0.18367466517857156
36.81358028017242        0.17199497767857164
37.515422306034495        0.15995591517857166
38.217229633620676        0.14809654017857166
38.919054310344805        0.13614732142857178
39.62072284482757        0.12500669642857165
40.32239137931033        0.11386607142857152
41.08252650862069        0.10182700892857155
41.90097952586207        0.08965959821428582
42.71931357758619        0.07810825892857176
43.53758814655173        0.06686495535714299
44.35589245689654        0.05546763392857157
45.23254005926724        0.04381040736607167
46.16746775323277        0.03222056361607173
47.10239544719825        0.020630719866071567
48.14573521910917        0.008246186755952678
49.26375948863635        -0.0027723518668825164
50.07217027658045        -0.01324786086309504
51.30835476293102        -0.025230022321428125
52.53474608150468        -0.03681006493506467
53.81941820141064        -0.04832640016233736
55.1039389106583        -0.05905864448051923
56.388431230407534        -0.06964387175324638
57.67273428683386        -0.07924898538961012
58.95696163793103        -0.08846205357142822
60.24093348354232        -0.0963519683441556
61.52484855015673        -0.10394784902597376
62.80879200626957        -0.11169074675324642
64.09254619905956        -0.11845353084415544
65.37629092868336        -0.12516730925324637
66.65985585815046        -0.13094997970779199
67.94339239811909        -0.13658563311688288
69.27539612068968        -0.14164955357142817
