#Z  A   B (MeV)                     Γ (MeV)
6          12   1.7345780134201050        1.4928284883499146
12          24   4.9943466186523438        1.6533102989196777
16          32   7.0739336013793945        2.1185514926910400
20          40   8.2135858535766602        2.1398963928222656
82         208   13.858802795410156        2.3443541526794434
