#Z  A   B (MeV)                     Γ (MeV)
6          12   4.9028878211975098        1.0802367925643921
12          24   8.7422151565551758        1.0907472372055054
16          32   11.219038963317871       0.96478235721588135
20          40   12.537542343139648        1.1215300559997559
82         208   18.374940872192383       0.86271560192108154
