#Z  A   B (MeV)                     Γ (MeV)
5          10  0.66796964406967163        1.3094487190246582
6          12   1.8108882904052734        1.5451307296752930
8          16   3.0904879570007324        1.6046948432922363
12          24   5.0716104507446289        1.7880884408950806
14          28   6.5625805854797363        2.1017978191375732
16          32   7.1446704864501953        2.1372110843658447
20          40   8.2889537811279297        2.2319293022155762
82         208   13.944871902465820        2.4554214477539062
