#Z  A   B (MeV)                     Γ (MeV)
6          12   2.6485428810119629        2.2675802707672119
12          24   3.9614677429199219        1.5704556703567505
16          32   6.0180497169494629        1.8270328044891357
20          40   6.7353992462158203        1.8970134258270264
82         208   10.645204544067383        1.8643088340759277
