#Z  A   B (MeV)                     Γ (MeV)
5          10   3.3793532848358154        1.2455340623855591
6          12   5.0253000259399414        1.2580422163009644
8          16   6.4585623741149902        1.2589986324310303
12          24   8.8234901428222656        1.2333835363388062
14          28   10.697758674621582        1.1459829807281494
16          32   11.333174705505371        1.1421812772750854
20          40   12.595355033874512        1.0973228216171265
82         208   6.0919117927551270        1.3308932781219482
