# part: eta,     pres: ours;   delta = e-3;    medium: free;    model = CS
           6          12   5.8525023460388184        1.6155558824539185        1456.7165374755859 
          12          24   7.1115846633911133       0.99259507656097412        1459.5432281494141
          16          32   9.6341018676757812       0.99053359031677246        1458.3881378173828
          20          40   10.386401176452637       0.86965751647949219        1457.0453643798828 
          82         208   14.141245841979980       0.38887649774551392        1455.6690216064453 
