# part: eta,     pres: ours;   delta = e-3;    medium: free;    model = M2
           6          12  0.61115902662277222        8.3639812469482422        1463.1313323974609
          12          24   1.5042796134948730        7.3793272972106934        1464.9738311767578
          16          32   2.8724405765533447        9.6566295623779297        1464.6549224853516
          20          40   3.3521006107330322        10.028829574584961        1463.4693145751953
          82         208   5.9464673995971680        11.431703567504883        1462.4332427978516
