# part: eta,     pres: ours;   delta = e-3;    medium: free;    model = GW
           6          12   15.118908882141113        5.0311603546142578        1445.7859039306641
          12          24   18.274805068969727        3.7132520675659180        1449.6517181396484
          16          32   23.249750137329102        3.9142782688140869        1446.6861724853516
          20          40   24.612272262573242        3.7424874305725098        1444.9039459228516
          82         208   30.180608749389648        3.0390493869781494        1442.9286956787109 
