# part: eta,     pres: ours;   delta = e-3;    medium: in-medium;    model = CS
           6          12   2.3824048042297363        1.8855980634689331        1461.1476898193359
          12          24   3.9728035926818848        1.6847789287567139        1462.9756927490234
          16          32   5.9770998954772949        2.0074741840362549        1462.2348785400391
          20          40   6.7122006416320801        2.0046539306640625        1460.8562469482422
          82         208   10.594764709472656        1.9205522537231445        1459.1037750244141
