#Z  A   B (MeV)                     Γ (MeV)
6          12   10.687541007995605        73.693161010742188
12          24   19.878622055053711        76.695892333984375
16          32   23.310697555541992        82.193634033203125
20          40   25.740438461303711        83.246620178222656
82         208   36.239006042480469        85.146224975585938
