#Z  A   B (MeV)                     Γ (MeV)
6          12   15.944194793701172        71.315536499023438
12          24   26.628625869750977        73.706428527832031
16          32   31.376834869384766        79.985824584960938
20          40   34.856708526611328        81.221527099609375
82         208   37.661045074462891        73.513175964355469
