# part: eta,     pres: ours;   delta = e-3;    medium: free;    model = KSW
           6          12   3.7887818813323975        9.5346899032592773        1458.9702606201172 
          12          24   5.5404295921325684        8.8564872741699219        1461.1957550048828
          16          32   7.9952316284179688        10.782463073730469        1460.1154327392578 
          20          40   8.8533830642700195        10.929114341735840        1458.6765289306641 
          82         208   13.063631057739258        10.976262092590332        1456.8813323974609 
